elapsed,iterations,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,efficiency
1.657518e+02,67108864,1000,64000,137438955520000,0,64,0.000000e+00,1,1.000000e+00,1.657518e+02,1.000000e+00
8.274779e+01,33554432,1000,64000,68719478784000,0,64,3.489400e-01,2,2.000000e+00,8.274779e+01,1.001548e+00
4.151228e+01,16777216,1000,64000,34359740416000,0,64,6.589098e-02,3,4.000000e+00,4.151228e+01,9.982094e-01
2.070253e+01,8388608,1000,64000,17179871232000,0,64,1.222546e-01,4,8.000000e+00,2.070253e+01,1.000794e+00
1.017803e+01,4194304,1000,64000,8589936640000,0,64,5.197137e-02,5,1.600000e+01,1.017803e+01,1.017829e+00
5.112039e+00,2097152,1000,64000,4294969344000,0,64,1.041549e-02,5,3.200000e+01,5.112039e+00,1.013244e+00
2.614200e+00,1048576,1000,64000,2147485696000,0,64,1.625803e-02,5,6.400000e+01,2.614200e+00,9.906938e-01
1.884558e+00,524288,1000,64000,1073743872000,0,64,1.000316e-01,5,1.280000e+02,1.884558e+00,6.871298e-01
2.375696e+00,262144,1000,64000,536872960000,0,64,6.584079e-02,5,2.560000e+02,2.375696e+00,2.725382e-01
2.591689e+00,131072,1000,64000,268437504000,0,64,7.770652e-02,5,5.120000e+02,2.591689e+00,1.249124e-01
2.638358e+00,65536,1000,64000,134219776000,0,64,7.790347e-02,5,1.024000e+03,2.638358e+00,6.135142e-02
2.677180e+00,32768,1000,64000,67110912000,0,64,8.445274e-02,5,2.048000e+03,2.677180e+00,3.023087e-02
2.768406e+00,16384,1000,64000,33556480000,0,64,7.070996e-02,5,4.096000e+03,2.768406e+00,1.461734e-02
2.717715e+00,8192,1000,64000,16779264000,0,64,6.397323e-02,5,8.192000e+03,2.717715e+00,7.444995e-03
2.719140e+00,4096,1000,64000,8390656000,0,64,8.549421e-02,5,1.638400e+04,2.719140e+00,3.720546e-03
2.754640e+00,2048,1000,64000,4196352000,0,64,4.782267e-02,5,3.276800e+04,2.754640e+00,1.836299e-03
2.751840e+00,1024,1000,64000,2099200000,0,64,1.019026e-01,5,6.553600e+04,2.751840e+00,9.190839e-04
2.808789e+00,512,1000,64000,1050624000,0,64,1.033747e-01,5,1.310720e+05,2.808789e+00,4.502246e-04
2.819222e+00,256,1000,64000,526336000,0,64,1.080771e-01,5,2.621440e+05,2.819222e+00,2.242792e-04
