elapsed,iterations,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,efficiency
1.406738e+02,67108864,1000,32000,68719477760000,0,32,0.000000e+00,1,1.000000e+00,1.406738e+02,1.000000e+00
7.033405e+01,33554432,1000,32000,34359739392000,0,32,1.646500e-02,2,2.000000e+00,7.033405e+01,1.000041e+00
3.518619e+01,16777216,1000,32000,17179870208000,0,32,8.051626e-03,3,4.000000e+00,3.518619e+01,9.994957e-01
1.761528e+01,8388608,1000,32000,8589935616000,0,32,7.331563e-03,4,8.000000e+00,1.761528e+01,9.982369e-01
8.813111e+00,4194304,1000,32000,4294968320000,0,32,1.847814e-03,5,1.600000e+01,8.813111e+00,9.976174e-01
4.418175e+00,2097152,1000,32000,2147484672000,0,32,1.729323e-03,5,3.200000e+01,4.418175e+00,9.949936e-01
2.222354e+00,1048576,1000,32000,1073742848000,0,32,2.527205e-03,5,6.400000e+01,2.222354e+00,9.890542e-01
1.123288e+00,524288,1000,32000,536871936000,0,32,4.655936e-04,5,1.280000e+02,1.123288e+00,9.783905e-01
5.725002e-01,262144,1000,32000,268436480000,0,32,1.630087e-03,5,2.560000e+02,5.725002e-01,9.598373e-01
2.947038e-01,131072,1000,32000,134218752000,0,32,3.489340e-04,5,5.120000e+02,2.947038e-01,9.323040e-01
1.545362e-01,65536,1000,32000,67109888000,0,32,6.235789e-04,5,1.024000e+03,1.545362e-01,8.889616e-01
8.302884e-02,32768,1000,32000,33555456000,0,32,6.442292e-04,5,2.048000e+03,8.302884e-02,8.272834e-01
8.521543e-02,16384,1000,32000,16778240000,0,32,8.798580e-04,5,4.096000e+03,8.521543e-02,4.030278e-01
8.518038e-02,8192,1000,32000,8389632000,0,32,4.711896e-04,5,8.192000e+03,8.518038e-02,2.015968e-01
8.464799e-02,4096,1000,32000,4195328000,0,32,8.998079e-04,5,1.638400e+04,8.464799e-02,1.014324e-01
8.626594e-02,2048,1000,32000,2098176000,0,32,1.197725e-03,5,3.276800e+04,8.626594e-02,4.976499e-02
8.658543e-02,1024,1000,32000,1049600000,0,32,1.315195e-03,5,6.553600e+04,8.658543e-02,2.479068e-02
8.849120e-02,512,1000,32000,525312000,0,32,9.205222e-04,5,1.310720e+05,8.849120e-02,1.212839e-02
8.918343e-02,256,1000,32000,263168000,0,32,1.554289e-03,5,2.621440e+05,8.918343e-02,6.017126e-03
